"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.0535,-34.94862,-84.43,-87.84,-88.6828571428571,-68.08,-78.435,-69.52,-88.6833333333333,-90.952,-97.255,5,2,4,7718
-8.05004,-34.95311,-88.2585714285714,-95.2228571428571,-88.39,-92.185,-92.1258333333333,-91.58,-94.21,-97.358,-96.1825,3,4,3,8803
-8.04802,-34.94762,-96.9964285714286,-80.5042857142857,-93.9935714285714,-90.76,-97.685,-98.7014285714286,-109.65,-102.064,-94.4075,3,3,6,9375
-8.05192,-34.9478,-91.59,-93.84,-89.1371428571429,-49.77,-68.6825,-79.2685714285714,-90.7266666666667,-98.048,-97.6,4,2,5,8193
-8.05197,-34.95227,-80.7728571428571,-92.8571428571429,-78.75,-85.39,-90.0675,-93.0814285714286,-90.9766666666667,-93.826,-95.605,4,4,3,8152
-8.05922,-34.94729,-89.87,-88.197012987013,-92.3086666666667,-94.615,-75.5055,-79.1682142857143,-91.7869444444444,-91.6292727272727,-95.8575,8,3,5,6643
-8.04883,-34.9576,-77.7,-93.1114285714286,-77.3442857142857,-98.0933333333333,-94.9,-94.21,-89.9166666666667,-102.228666666667,-92.84,4,6,3,9079
-8.05055,-34.9505,-94.4871428571429,-95.6171428571429,-98.78,-91.45,-93.7925,-93.14,-90.81,-94.976,-98.7325,3,3,4,8668
-8.0486,-34.9509,-87.9235714285714,-90.17,-82,-85.2,-90.8225,-87.5141666666667,-89.5783333333333,-98.012,-96.7925,3,4,5,9149
-8.05135,-34.95858,-83.9357142857143,-95.0071428571429,-84.6371428571428,-97.6933333333333,-96.9575,-91.0714285714286,-89.5483333333333,-98.266,-78.38,5,7,2,8461
-8.05391,-34.94827,-92.4226190476191,-90.2421428571429,-93.0646428571429,-75.96,-91.41,-84.46,-85.19,-93.248,-97.255,5,2,5,7635
-8.05546,-34.95055,-91.4642857142857,-91.97,-91.6666666666667,-87.34,-85.515,-84.97,-89.4841666666667,-82.32,-96.3725,6,3,3,7176
-8.04844,-34.95226,-75.3157142857143,-86.51,-73.8214285714286,-92.76,-91.83,-87.9657142857143,-89.1866666666667,-98.012,-96.7175,2,4,4,9248
-8.05139,-34.95513,-76.64,-98.7571428571429,-86.9328571428572,-94.46,-95.15,-91.0714285714286,-70.6783333333333,-93.38,-95.08,4,5,2,8448
-8.05427,-34.95683,-90.6547619047619,-99.4185714285714,-89.4914285714286,-103.375833333333,-101.565,-95.78,-74.671,-83.8385714285714,-87.1275,6,6,1,7559
-8.05225,-34.95651,-88.95,-98.2242857142857,-91.39,-98.54,-98.52,-93.4214285714286,-67.8783333333333,-95.63,-91.58,5,6,2,7968
-8.05231,-34.94832,-89.49,-86.9728571428572,-89.5042857142857,-69.92,-78.5975,-77.86,-86.595,-92.514,-97.255,5,2,5,7950
-8.05145,-34.95051,-90.7128571428571,-92.5771428571429,-91.7,-82.25,-96.49,-91.7,-93.6483333333333,-94.73,-95.9225,4,3,4,8423
-8.05337,-34.9465,-87.8985714285714,-86.4057142857143,-84.4657142857143,-65.04,-70.9175,-82.6,-90.34,-86.816,-97.255,5,1,5,7750
-8.05866,-34.94917,-91.9971428571429,-93.0442857142857,-91.8728571428571,-96.75,-82.4883333333333,-82.56,-91.65,-83.817,-95.8575,7,3,4,6675
-8.05177,-34.94866,-90.64,-90.84,-92.2071428571428,-77.34,-92.2775,-91.91,-91.58,-92.182,-97.6,4,2,5,8289
-8.05441,-34.95944,-81.7657142857143,-99.4914285714286,-83.6242857142857,-95.72,-100.225,-88.2328571428572,-74.0433333333333,-88.24,-61.08,6,7,1,7519
-8.04817,-34.9591,-80.7,-90.5971428571429,-81.14,-96.4233333333333,-97.958125,-95.7967857142857,-84.17,-106.544,-86.21,4,7,3,9320
-8.04826,-34.94551,-100.73,-83.39,-96.5007142857143,-74.64,-94.3775,-84.4714285714286,-93.605,-90.834,-96.92,4,2,7,9294
-8.0486,-34.95073,-85.9,-80.32,-77.32,-81.07,-90.8225,-85.02,-92.46,-98.012,-96.7925,3,4,5,9150
-8.04851,-34.94697,-95.4,-87.5519047619048,-99.2121428571428,-87.01,-98.645,-95.7244642857143,-96.5633333333333,-101.01,-96.56,3,2,6,9206
-8.05511,-34.95294,-92.48,-95.4357142857143,-97.41,-96.125,-96.1125,-95.9,-84.0666666666667,-81.104,-98.4225,6,4,2,7375
-8.05215,-34.95979,-86.2528571428571,-97.33,-88.0357142857143,-98.85,-98.2575,-93.2846428571429,-87.45,-98.544,-75.35,6,7,2,8045
-8.05205,-34.95018,-90.8628571428571,-93.9285714285714,-92.2414285714286,-78.44,-89.5675,-83.94,-92.7866666666667,-95.754,-93.97,4,3,4,8099
-8.05512,-34.95325,-88.28,-95.5728571428572,-92.2842857142857,-94.4,-91.135,-82.2,-76.5,-78.13,-95.6025,6,4,2,7367
-8.05936,-34.94682,-90.9177380952381,-87.7955844155844,-92.05,-95.1316666666667,-78.148,-87.18,-90.4619444444444,-90.5772727272727,-95.8575,8,3,6,6628
-8.05451,-34.95941,-80.83,-100.805714285714,-82.1671428571429,-95.72,-100.225,-87.0714285714286,-74.0433333333333,-89.368,-67.58,6,7,1,7473
-8.04949,-34.95305,-73.88,-88.14,-75.44,-90.76,-94.6675,-87.6054761904762,-91.8966666666667,-96.186,-96.2825,3,4,4,8938
-8.0495,-34.95351,-78.4585714285714,-93.7042857142857,-82.3428571428571,-86.77,-89.84,-90.77,-91.8966666666667,-97.054,-96.2825,3,4,3,8934
-8.04898,-34.94737,-95.2828571428571,-87.26,-94.2514285714286,-80.69,-96.4925,-95.2942857142857,-93.635,-96.518,-96.3575,3,2,6,9048
-8.05685,-34.95511,-97.29,-99.0514285714286,-92.62,-98.32,-91.8025,-90.8414285714286,-87.04,-66.242,-94.85,7,5,2,6765
-8.0549,-34.95363,-90.5271428571428,-95.3728571428571,-80.26,-98.73,-90.6525,-91.2228571428572,-90.4483333333333,-82.81,-96.49,5,4,2,7406
-8.05299,-34.9556,-88.4657142857143,-96.3728571428572,-87.9392857142857,-99.8283333333333,-96.1425,-95.6471428571429,-60.47,-78.44,-78.96,5,5,2,7802
-8.05004,-34.95954,-85.74,-98.28,-82.8442857142857,-98.7733333333333,-97.725,-95.96,-86.3933333333333,-102.688,-87.77,5,7,3,8800
-8.05521,-34.95354,-71.58,-96.14,-91.1671428571429,-95.5433333333333,-87.1175,-91.7585714285714,-90.5,-78.81,-96.9025,6,4,2,7322
-8.04642,-34.95304,-76.5114285714286,-90.2257142857143,-77.93,-96.91,-94.1125,-83.21,-83.8883333333333,-104.266,-97.22,2,5,5,9667
-8.05529,-34.9537,-88.3221428571429,-96.14,-93.1157142857143,-92.09,-87.6025,-93.8471428571429,-80.2366666666667,-83.706,-96.28,6,4,2,7282
-8.05223,-34.94794,-85.6971428571429,-88.1457142857143,-89.28,-60.08,-78.265,-77.8828571428571,-88.82,-89.898,-97.6,5,2,5,7999
